Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Precise Chiropractic,Chiropractic,T1,Coty,Troy,Troy,Michigan,48085,3,12,2026-07-13,3,Unknown
Regenerative Pain Medicine,Pain Management,T1,Coty,Troy,Troy,Michigan,48083,3,9,2026-07-01,15,Unknown
"Ruffini DC PC, Richard J",Chiropractic,T1,Coty,Southfield,Southfield,MI,480341801,3,8,2026-05-28,49,Unknown
Somerset Pain Clinic,Pain Management,T1,Coty,Troy,Troy,Michigan,48084,3,6,2026-06-29,17,Unknown
Absolute wellness chiropractic,Chiropractic,T1,Sean,Other/Metro,Clawson,Michigan,48017,3,3,2026-06-08,38,Unknown
Advanced Physical Medicine,Pain Management,T1,Sean,Other/Metro,Saint Clair Shores,MI,48080,3,3,2026-04-27,80,Unknown
B.G.Tricounty Neurology and Sleep Clinic,Neurology,T1,Sean,Sterling Heights,Warren,MI,480937618,3,11,2026-03-24,114,Past due
Back and Neck Chiropractic Wellness Center,Chiropractic,T1,Sean,Troy,Troy,Michigan,48085,3,3,2026-06-05,41,Unknown
Ducharme Chiropractic,Chiropractic,T1,Sean,Troy,Rochester Hills,Michigan,48309,3,6,2026-05-19,58,Unknown
Embody Chiropractic,Chiropractic,T1,Sean,Troy,Troy,Michigan,48085,3,6,2026-06-05,41,Past due
"EVA SAHA, MD, PLC",Neurology,T1,Sean,Sterling Heights,CLINTON TOWNSHIP,Michigan,MI 48038,3,3,2026-04-21,86,Upcoming
Kraft Chiropractic Clinic,Chiropractic,T1,Sean,Troy,Rochester Hills,Michigan,48307,3,3,2026-05-27,50,Unknown
Macomb Neurology Associates,Neurology,T1,Sean,Sterling Heights,Warren,MI,48088,3,6,2026-05-13,64,Unknown
Macomb Pain Management,Pain Management,T1,Sean,Other/Metro,Shelby Township,Michigan,48316,3,9,2026-04-23,84,Past due
Pain Clinic of Michigan - Rochester Hills,Pain Management,T1,Sean,Troy,Rochester Hills,MI,48309,3,6,2026-05-20,57,Unknown
Rauch Chiropractic Life Center PLLC,Chiropractic,T1,Sean,Sterling Heights,Sterling Heights,Michigan,48310,3,7,2026-06-04,42,Unknown
Upchurch Chiropractic,Chiropractic,T1,Sean,Southfield,Royal Oak,Michigan,48073,3,3,2026-05-12,65,Unknown
VanEvery Family Chiropractic Center,Chiropractic,T1,Sean,Southfield,Royal Oak,Michigan,48073,3,6,2026-03-13,125,Unknown
WILLIAM BEAUMONT HOSPITAL CENTER FOR PAIN MEDICINE,Spine,T1,Sean,Southfield,ROYAL OAK,Michigan,MI 48073,3,12,2026-05-20,57,Unknown
Hesselberg Chiropractic,Chiropractic,T1,Kristen,Other/Metro,Ypsilanti,Michigan,48197,2,6,2026-04-27,80,Unknown
Hughey chiropractic,Chiropractic,T1,Kristen,Livonia,Westland,Michigan,48185,2,2,2026-07-06,10,Unknown
LMT REHABILITATION ASSOCIATES,Pain Management,T1,Kristen,Southfield,ROYAL OAK,Michigan,MI 48073,2,2,2026-05-21,56,Unknown
Lupo Chiropractic Center,Chiropractic,T1,Kristen,Other/Metro,Roseville,Michigan,48066,2,16,2026-05-04,73,Unknown
Michigan Spine and Pain,Pain Management,T1,Kristen,Other/Metro,West Bloomfield,MI,48322,2,7,2026-05-07,70,Unknown
Newland Medical Associates,Pain Management,T1,Kristen,Other/Metro,Bingham Farms,Michigan,48025,2,22,2026-07-08,8,Unknown
Novamed,Pain Management,T1,Kristen,Southfield,Southfield,Michigan,48034,2,7,2026-05-28,49,Unknown
Purdy Chiropractic Center,Chiropractic,T1,Kristen,Sterling Heights,Sterling Heights,Michigan,48310,2,2,2026-06-18,28,Unknown
Specialists in Rehabilitation Medicine Commerce Twp,PM&R,T1,Kristen,Other/Metro,Commerce Charter Township,Michigan,48382,2,2,2026-05-26,51,Unknown
