Company,MMC Company ID,Current PL,Owner Name,MMC Groups,Referral Evidence Band,Match Status,Match Method(s),Matched Referral Source(s),Matched Source Rows,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,First B2B Appointment,Last B2B Appointment,Last Spine Appointment,Prior Visit Before Reference Patient,Latest Visit-to-First-Appt Lag Days,Median Visit-to-First-Appt Lag,Patients 0–30 Days,Patients 31–60 Days,Patients 61–90 Days,Patients 91+ Days,Patients Without Prior MMC Visit,Referral Production Points,Referral Data Cutoff
"DIAB AND KINNER INTERNAL MEDICINE, PC- use",954353cc-a941-4b77-90f3-f3fb1c62e161,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Kinner DO, Carolann",1,1,0,0,1,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,0,0,1,0,0,0,0,61,2026-07-10 00:00:00
DMC Orthopedics & Sports Medicine - Warren,1285806067,Coty,Coty Oetjens,Sports Medicine,One Spine Patient,Deterministically matched,Exact provider name,"ANDERSON DO, BRITTA",1,1,0,0,1,2026-02-17 00:00:00,2026-02-17 00:00:00,2026-02-17 00:00:00,2026-02-12 00:00:00,5,5,1,0,0,0,0,61,2026-07-10 00:00:00
Epic Healthcare - Southfield,a6831f2e-4f19-4f2d-bdb5-d732d5c81ce7,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Kalabat FNP-BC, Amber S",1,1,0,0,1,2026-01-21 00:00:00,2026-01-21 00:00:00,2026-01-21 00:00:00,2025-12-23 00:00:00,29,29,1,0,0,0,0,61,2026-07-10 00:00:00
Gratiot Family Medicine,f7eb2b6e-6864-4576-879b-81a2bb775cb1,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Darwish, Darwish",1,1,0,0,1,2026-06-25 00:00:00,2026-06-25 00:00:00,2026-06-25 00:00:00,2026-03-19 00:00:00,98,98,0,0,0,1,0,61,2026-07-10 00:00:00
Greg Monroe DO PC,4de0cfd4-93f7-4efa-a4ed-25a3ceaf173b,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Monroe DO, Gregory",1,1,0,0,1,2026-01-07 00:00:00,2026-01-07 00:00:00,2026-01-07 00:00:00,2026-01-05 00:00:00,2,2,1,0,0,0,0,61,2026-07-10 00:00:00
Henry Ford Main Internal Medicine - Grosse Pointe,1073593174,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Rozzell MD, Donald M",1,1,0,0,1,2026-04-21 00:00:00,2026-04-21 00:00:00,2026-04-21 00:00:00,2026-04-15 00:00:00,6,6,1,0,0,0,0,61,2026-07-10 00:00:00
Huron Family Practice Center,60ee8106-1f15-4abf-95a1-c2184761b159,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Whitten PA-C, Autumn A",1,1,0,0,1,2026-05-22 00:00:00,2026-05-22 00:00:00,2026-05-22 00:00:00,2026-04-21 00:00:00,31,31,0,1,0,0,0,61,2026-07-10 00:00:00
IHA UNION LAKE PEDIATRICS,905d0bbb-d935-4258-8a1e-2e30d0a25987,Kristen,Kristen Jones,Pediatrician,One Spine Patient,Deterministically matched,Unique provider first + last,"Palka, Courtney Elyse",1,1,0,0,1,2026-06-10 00:00:00,2026-06-10 00:00:00,2026-06-10 00:00:00,2026-05-26 00:00:00,15,15,1,0,0,0,0,61,2026-07-10 00:00:00
Jian Zu MD,85043f4d-a0d7-448b-9a3d-e0943de69dd8,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Zu MD, Jian",1,1,0,0,1,2026-02-02 00:00:00,2026-02-02 00:00:00,2026-02-02 00:00:00,2025-12-22 00:00:00,42,42,0,1,0,0,0,61,2026-07-10 00:00:00
Karma Internists,9e6bf540-edd8-4135-9b33-cef5e4fbcc2c,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Saini MD, Anvita  B",1,1,0,0,1,2026-03-26 00:00:00,2026-03-26 00:00:00,2026-03-26 00:00:00,2026-03-24 00:00:00,2,2,1,0,0,0,0,61,2026-07-10 00:00:00
Kashat Urgent care,0b9485b1-39bd-4f21-8222-387834af8472,Sean,Sean Sweeney,Urgent care,One Spine Patient,Deterministically matched,Unique provider first + last,"Kashat MD, Ghazawan K",1,1,0,0,1,2026-06-03 00:00:00,2026-06-03 00:00:00,2026-06-03 00:00:00,2026-03-20 00:00:00,75,75,0,0,1,0,0,61,2026-07-10 00:00:00
Legacy Family Care,6a6a4408-2a28-4e5b-aea6-b70d4b47d57c,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Koza MD, Heather",1,1,0,0,1,2026-06-01 00:00:00,2026-06-01 00:00:00,2026-06-01 00:00:00,2026-05-11 00:00:00,21,21,1,0,0,0,0,61,2026-07-10 00:00:00
Lexington Family Medicine,e91e6824-c768-4d8f-a1d0-2c6cb005cc47,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Laming, Christie S",1,1,0,0,1,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-02-10 00:00:00,2026-01-12 00:00:00,29,29,1,0,0,0,0,61,2026-07-10 00:00:00
Lupo Chiropractic Center,ea3dd183-15b5-491c-b6b5-55d6404f4a22,Kristen,Kristen Jones,Chiropractor,One Spine Patient,Deterministically matched,Exact provider name,"Lupo, Jeffrey",1,1,0,0,1,2026-02-12 00:00:00,2026-02-12 00:00:00,2026-02-12 00:00:00,2026-02-09 00:00:00,3,3,1,0,0,0,0,61,2026-07-10 00:00:00
Madison Medical Arts,1760473094,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Hasbany MD, Robert",1,1,0,0,1,2026-06-18 00:00:00,2026-06-18 00:00:00,2026-06-18 00:00:00,2026-04-22 00:00:00,57,57,0,1,0,0,0,61,2026-07-10 00:00:00
Michigan Neurology and Spine Center,137ab9e0-c65d-4932-9dc5-f8b83b872e50,Kristen,Kristen Jones,Neurology;Pain Management,One Spine Patient,Deterministically matched,Exact provider name,"Miller FNP-BC, Carol",1,1,0,0,1,2026-05-12 00:00:00,2026-05-12 00:00:00,2026-05-12 00:00:00,2026-04-21 00:00:00,21,21,1,0,0,0,0,61,2026-07-10 00:00:00
Michigan Primary Care - Sterling Heights,ce3b56cf-1381-41d0-b067-752448464958,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Tasevski NP, Aleksandra",1,1,0,0,1,2026-05-19 00:00:00,2026-05-19 00:00:00,2026-05-19 00:00:00,2026-03-20 00:00:00,60,60,0,1,0,0,0,61,2026-07-10 00:00:00
North Macomb Medical Associates,7250fa4c-09c2-418b-94d4-8badec5b77f7,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Weymouth PA-C, Sarah",1,1,0,0,1,2026-06-09 00:00:00,2026-06-09 00:00:00,2026-06-09 00:00:00,2025-09-04 00:00:00,278,278,0,0,0,1,0,61,2026-07-10 00:00:00
Office of Josephine A. Iskander MD,b1e60538-ff76-457b-a530-3647907b307b,Coty,Coty Oetjens,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Iskander MD, Josephine",1,1,0,0,1,2026-06-25 00:00:00,2026-06-25 00:00:00,2026-06-25 00:00:00,2026-04-29 00:00:00,57,57,0,1,0,0,0,61,2026-07-10 00:00:00
ORCHARD PRIMARY CARE,ba00dba0-20f9-440b-8df0-799ade91a785,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Pathak MD, Meghna",1,1,0,0,1,2026-05-01 00:00:00,2026-05-01 00:00:00,2026-05-01 00:00:00,2026-02-17 00:00:00,73,73,0,0,1,0,0,61,2026-07-10 00:00:00
PelHam Primary Care,d4c2e8cb-a4bb-454f-bc5c-8425cff6d293,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name + referral PL owner,"Khader MD, Talal",1,1,0,0,1,2026-01-13 00:00:00,2026-01-13 00:00:00,2026-01-13 00:00:00,2025-12-05 00:00:00,39,39,0,1,0,0,0,61,2026-07-10 00:00:00
Plymouth physical therapy services,cd5ff85f-ef03-49bb-bf33-ee98e3b500ec,Jasmine,Jasmine Jones,Physical Therapy,One Spine Patient,Deterministically matched,Unique provider first + last,"Lefere PT, Nicholas",1,1,0,0,1,2026-06-10 00:00:00,2026-06-10 00:00:00,2026-06-10 00:00:00,2026-04-23 00:00:00,48,48,0,1,0,0,0,61,2026-07-10 00:00:00
Premier Private Physicians,fc79eac0-6f20-44c3-84a9-e20d7068fe4e,Coty,Coty Oetjens,Concierge Physicians,One Spine Patient,Deterministically matched,Exact provider name,"Peoples MD, Ashleigh",1,1,0,0,1,2026-06-09 00:00:00,2026-06-09 00:00:00,2026-06-09 00:00:00,2026-06-03 00:00:00,6,6,1,0,0,0,0,61,2026-07-10 00:00:00
Premiere Pediatrics,a8abc02a-95b9-4318-b876-60471f8fff0e,Coty,Coty Oetjens,Pediatrician,One Spine Patient,Deterministically matched,Unique provider first + last,"Thomas MD, Mark William",1,1,0,0,1,2026-06-16 00:00:00,2026-06-16 00:00:00,2026-06-16 00:00:00,2024-11-07 00:00:00,586,586,0,0,0,1,0,61,2026-07-10 00:00:00
Roberts Orthopedic Services,680822f2-58d4-4f67-b09b-01ccd6f95892,Jasmine,Jasmine Jones,Orthopedic Surgery,One Spine Patient,Deterministically matched,Unique provider first + last,"NZOMA, JONATHAN KYULU",1,1,0,0,1,2026-05-22 00:00:00,2026-05-22 00:00:00,2026-05-22 00:00:00,2026-04-15 00:00:00,37,37,0,1,0,0,0,61,2026-07-10 00:00:00
Rochester Medical Group,c82c9d5d-f644-42a6-8149-43868624eb50,Coty,Coty Oetjens,Podaitry;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"HAWKINS DO, JASON",1,1,0,0,1,2026-04-30 00:00:00,2026-04-30 00:00:00,2026-04-30 00:00:00,2026-03-23 00:00:00,38,38,0,1,0,0,0,61,2026-07-10 00:00:00
Rodnick Chiropractic,97e1431f-4c5b-4ec4-b3a5-47267613937b,Kristen,Kristen Jones,Chiropractor,One Spine Patient,Deterministically matched,Exact provider name,"Rodnick, Alex",1,1,0,0,1,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,2025-12-19 00:00:00,62,62,0,0,1,0,0,61,2026-07-10 00:00:00
ROSE MEDICINE,9c2f2817-fae0-4fb0-b943-376aef6fc719,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Akinyosoye MD, Oluwasayo",1,1,0,0,1,2026-01-09 00:00:00,2026-01-09 00:00:00,2026-01-09 00:00:00,2025-11-14 00:00:00,56,56,0,1,0,0,0,61,2026-07-10 00:00:00
SOUTHFIELD MEDICAL CLINIC AND PREMIER URGENT CARE AND WALK IN CLINIC,297a710c-01f5-41e0-9ffc-d1df69e9329d,Kristen,Kristen Jones,Urgent care;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Unique provider first + last,"Mansour MD, Yousif S/Ross Law",1,1,0,0,1,2026-04-20 00:00:00,2026-04-20 00:00:00,2026-04-20 00:00:00,2026-03-17 00:00:00,34,34,0,1,0,0,0,61,2026-07-10 00:00:00
Specialists in Rehabilitation Medicine,8c808cf3-9148-4a0b-8ea0-2d0882a9424e,Coty,Coty Oetjens,Physiatry;Physical Therapy;PA's,One Spine Patient,Deterministically matched,Exact provider name,"Arbit MD, Steven",1,1,0,0,1,2026-04-07 00:00:00,2026-04-07 00:00:00,2026-04-07 00:00:00,2025-07-17 00:00:00,264,264,0,0,0,1,0,61,2026-07-10 00:00:00
Sterling Physicians,1972593499,Sean,Sean Sweeney,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Burtka MD, James",1,1,0,0,1,2026-07-07 00:00:00,2026-07-07 00:00:00,2026-07-07 00:00:00,2026-06-04 00:00:00,33,33,0,1,0,0,0,61,2026-07-10 00:00:00
Sudha Nannapaneni MD,f9518cc9-e8e8-4517-8250-4768d176ee8c,Coty,Coty Oetjens,Coty;Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Nannapaneni MD, Sudha",1,1,0,0,1,2026-01-20 00:00:00,2026-01-20 00:00:00,2026-01-20 00:00:00,2025-11-05 00:00:00,76,76,0,0,1,0,0,61,2026-07-10 00:00:00
Trinity Health IHA Medical Group Primary Care - Canton,25a91d51-ca80-40cd-88ea-8b37beaa2ea8,Jasmine,Jasmine Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"MURRAY MD, YUJING",1,1,0,0,1,2026-07-06 00:00:00,2026-07-06 00:00:00,2026-07-06 00:00:00,2026-06-05 00:00:00,31,31,0,1,0,0,0,61,2026-07-10 00:00:00
"TWIN LAKES MEDICAL ASSOCIATES, PC",e7b52c83-5403-4607-98fb-61ffa473ccc4,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name,"Patel MD, Priyesh",1,1,0,0,1,2026-06-10 00:00:00,2026-06-10 00:00:00,2026-06-10 00:00:00,2026-05-06 00:00:00,35,35,0,1,0,0,0,61,2026-07-10 00:00:00
Village Medical - Northville West,1255345930,Kristen,Kristen Jones,Internal Medicine/PCP,One Spine Patient,Deterministically matched,Exact provider name + referral PL owner,"Demeri MD, Nader",1,1,0,0,1,2026-05-18 00:00:00,2026-05-18 00:00:00,2026-05-18 00:00:00,2026-03-18 00:00:00,61,61,0,0,1,0,0,61,2026-07-10 00:00:00
Wigod & Falzon,1da57554-aa50-483a-b1a8-060ff843ff7c,Kristen,Kristen Jones,Attorney,One Spine Patient,Deterministically matched,Exact company name,Wigod and Falzon,1,1,0,0,1,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-06-17 00:00:00,2026-05-29 00:00:00,19,19,1,0,0,0,0,61,2026-07-10 00:00:00
CoreWell Health Family Medicine,f8c5f64c-4cf6-463f-9090-68ac9735f08e,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Alqurneh DO, Amal; Ridella MD, Thomas J",10,0,7,3,10,2026-04-07 00:00:00,2026-07-09 00:00:00,,2026-07-02 00:00:00,7,29,5,5,0,0,0,48,2026-07-10 00:00:00
"PRAVEEN MODI, MD, PC",63a72095-741a-43fe-b865-a1f6398ee484,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Modi MD, Praveen K; Modi, Praveen K",9,0,9,0,9,2026-02-18 00:00:00,2026-07-06 00:00:00,,2026-06-04 00:00:00,32,40,2,5,2,0,0,48,2026-07-10 00:00:00
SUNNY PEDIATRICS AND FAMILY,2f39cd70-3e7f-4323-8222-52b01a24c007,Kristen,Kristen Jones,Pediatrician,Ortho Referrer,Deterministically matched,Exact provider name,"Raj MD, Navin; Raj, Navin; Syed MD, Sana",7,0,7,0,7,2026-01-05 00:00:00,2026-07-09 00:00:00,,2026-05-20 00:00:00,50,56,2,3,2,0,0,48,2026-07-10 00:00:00
Dedicated Senior Medical Center - Warren,95ae3078-f17c-44de-af58-d9fc8e58f4de,Jasmine,Jasmine Jones,Ortho;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Khan DO, Afshan; Khangura DO, Charanpreet K",6,0,4,2,6,2026-04-03 00:00:00,2026-06-03 00:00:00,,2026-06-03 00:00:00,0,0,6,0,0,0,0,48,2026-07-10 00:00:00
Shaun Jayakar MD,f56a8949-cb8d-4abd-8405-0a939eec72d2,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Jayakar MD, Shaun; Jayakar MD, Shaun M",6,0,6,0,6,2026-02-26 00:00:00,2026-07-08 00:00:00,,2026-06-11 00:00:00,27,20.5,6,0,0,0,0,48,2026-07-10 00:00:00
Souva PT and Performance,ff1e6dda-d122-4127-b4fe-e380950051e4,Kristen,Kristen Jones,Physical Therapy;Sports Facilities,Ortho Referrer,Deterministically matched,Exact provider name,"Jake Souva DPT; Souva DPT, Jake; Souva PT, Jake",6,0,6,0,6,2026-03-20 00:00:00,2026-05-26 00:00:00,,2026-04-08 00:00:00,48,52,2,2,2,0,0,48,2026-07-10 00:00:00
Corewell Health Family Care of Novi,74e299c3-f9b1-4d54-8e8d-b63af23ba7fd,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Kadri MD, Medina; Zaban DO, Rana",5,0,5,0,5,2026-03-09 00:00:00,2026-06-02 00:00:00,,2026-04-28 00:00:00,35,17,4,1,0,0,0,48,2026-07-10 00:00:00
Corewell Health Wayne Hospital Internal Medicine - Canton,1c7828ed-eebc-45ad-a838-28fbb2264e48,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Bandri, Raghunath; Go MD, Lily",5,0,5,0,5,2026-01-02 00:00:00,2026-06-22 00:00:00,,2026-05-13 00:00:00,40,20,4,1,0,0,0,48,2026-07-10 00:00:00
Henry Ford Health - Family Medicine 8 Mile Livonia,22476694-35cd-4d2b-b17f-07cee1f1db4b,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Fitzgibbons MD, Kelly; Giannola MD, Joseph V; WEIN MD, SAMANTHA CHERISE; White MD, William Paul",5,0,5,0,5,2026-02-18 00:00:00,2026-06-12 00:00:00,,2026-04-24 00:00:00,49,24,4,1,0,0,0,48,2026-07-10 00:00:00
Office of Robert Brateman,1548224769,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Brateman MD, Robert",5,0,5,0,5,2026-01-06 00:00:00,2026-06-16 00:00:00,,2026-05-05 00:00:00,42,42,2,1,2,0,0,48,2026-07-10 00:00:00
Internal Medicine & Primary Care Specialists- 1010,1184660490,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Dell MD, Lawrence; Rosenbaum DO, Eric; WEST PA, RACHEL; West PA, Rachel",4,0,4,0,4,2026-01-08 00:00:00,2026-07-06 00:00:00,,2026-05-07 00:00:00,60,30.5,2,2,0,0,0,48,2026-07-10 00:00:00
Legacy Family Medicine,1558340356,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Sayegh DO, Anthony",4,0,4,0,4,2026-01-09 00:00:00,2026-06-05 00:00:00,,2026-04-03 00:00:00,63,62.5,1,0,3,0,0,48,2026-07-10 00:00:00
Michigan Adult and Child Medicine,1700860103,Sean,Sean Sweeney,Internal Medicine/PCP;Pediatrician,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Byrne MD, John; Fisher MD, Jeffrey; Paye MD, Renee Y",4,0,4,0,4,2026-03-31 00:00:00,2026-07-09 00:00:00,,2026-03-24 00:00:00,107,60.5,1,1,1,1,0,48,2026-07-10 00:00:00
Patrick Kut MD PC,eca14fb7-48cb-4968-b258-b97a854b34c1,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Kut MD, Patrick",4,0,4,0,4,2026-01-21 00:00:00,2026-06-18 00:00:00,,2026-05-05 00:00:00,44,27,2,1,1,0,0,48,2026-07-10 00:00:00
Premier Pediatrics Dearborn Heights,bb55a71e-e12b-49be-9449-435cdc38cca4,Kristen,Kristen Jones,Pediatrician,Ortho Referrer,Deterministically matched,Exact provider name,"HAMAMEH DO,  MAZEN",4,0,4,0,4,2026-01-22 00:00:00,2026-05-29 00:00:00,,2026-04-06 00:00:00,53,26,3,1,0,0,0,48,2026-07-10 00:00:00
Primal Recovery and PT,d7144e2d-aac6-4f68-a775-78db28d6b445,Kristen,Kristen Jones,Physical Therapy;Sports Facilities,Ortho Referrer,Deterministically matched,Exact provider name,"Nolff DPT, Spencer",4,0,4,0,4,2026-04-13 00:00:00,2026-05-26 00:00:00,,2026-04-24 00:00:00,32,28.5,2,1,1,0,0,48,2026-07-10 00:00:00
"WAYNE MEDICAL CENTER, PLLC",bc73cba3-b59d-4259-8bb7-6129abd353ab,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Liyanage MD, Modini",4,0,4,0,4,2026-03-12 00:00:00,2026-06-24 00:00:00,,2026-05-21 00:00:00,34,39.5,1,2,0,1,0,48,2026-07-10 00:00:00
Haller and Hug Internal Medicine,9019b0af-745f-41ea-a4ab-4e72321359d9,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Haller MD, Jeffrey; Haller, Jeffrey; Molnar MD, Heather",12,0,2,10,12,2026-01-29 00:00:00,2026-07-09 00:00:00,,2026-05-11 00:00:00,59,57,1,8,3,0,0,42,2026-07-10 00:00:00
WEST OAKLAND INTERNISTS,b9dc6f52-5aa2-459e-98a8-79b4da67dc8a,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Preston MD, Stafford; Terrio MD, Bruce; Wehbe DO, Nabil",7,0,2,5,7,2026-01-12 00:00:00,2026-06-01 00:00:00,,2026-04-28 00:00:00,34,7,5,2,0,0,0,42,2026-07-10 00:00:00
Corewell Health Family Medicine - Farmington Hills,f4e08b14-ec91-4b48-b82c-2c7f762bf721,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Farah MD, RENEE; Farah MD, Renee; Farah MD, Renee Afram; Johnson MD, Valerie",4,0,3,1,4,2026-01-26 00:00:00,2026-06-19 00:00:00,,2026-05-08 00:00:00,42,46,1,3,0,0,0,42,2026-07-10 00:00:00
Corewell Health Farmington Hills Hospital Family Medicine,3edb39b0-eee8-436d-b215-e28e186500be,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Craib DO, Annie; Sebastian DO, Matthew",4,0,3,1,4,2026-01-13 00:00:00,2026-04-13 00:00:00,,2026-02-18 00:00:00,54,59,0,2,2,0,0,42,2026-07-10 00:00:00
Dedicated senior Medical Center Detroit North,85d28577-5be8-4372-8c7e-9a349c62e50d,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Molteni, Sandra L",4,0,3,1,4,2026-01-30 00:00:00,2026-06-03 00:00:00,,2026-05-21 00:00:00,13,7,4,0,0,0,0,42,2026-07-10 00:00:00
IHA Plymouth Primary Care,92cc3682-defe-42ff-8ccd-0ff138c12b77,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"KOHLENBERG MD, MATTHEW; Lumley DO, Lauren; Schmehl DO, Ashley",4,0,3,1,4,2026-01-22 00:00:00,2026-05-21 00:00:00,,2026-04-10 00:00:00,41,24.5,2,1,0,1,0,42,2026-07-10 00:00:00
ASCENSION MEDICAL GROUP PROVIDENCE FAMILY AND ATHLETIC MEDICINE,2a800701-496e-4bcf-b305-aa1a21a3c7ef,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last + referral PL owner,"Balmaseda, Paolo Nino; Cibor DO, Gregory; Peck MD, David",3,0,2,1,3,2026-01-14 00:00:00,2026-06-24 00:00:00,,2026-06-01 00:00:00,23,23,2,1,0,0,0,42,2026-07-10 00:00:00
BEAUMONT FAMILY MEDICINE WESTLAND,45376ca8-4cd3-43e5-945d-5f6309bac752,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Drewry MD, Tyler; Lewan DO, Elizabeth Ann",3,0,3,0,3,2026-03-02 00:00:00,2026-07-10 00:00:00,,2026-06-05 00:00:00,35,35,1,2,0,0,0,42,2026-07-10 00:00:00
Corewell Health Urgent Care - Garden City,7db80555-4d31-47b0-904c-cd43fb08b2ee,Kristen,Kristen Jones,Urgent Cares,Ortho Referrer,Deterministically matched,Reviewed source alias,Corewell UC Garden City; Corewell Urgent Care Garden City,3,0,2,1,3,2026-01-05 00:00:00,2026-06-22 00:00:00,,2026-06-05 00:00:00,17,17,2,0,1,0,0,42,2026-07-10 00:00:00
Cornerstone St. Clair Internists,cc9cf66d-2e3c-4e56-9aeb-85ba4b7e600c,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Dukaj MD, Mark; Eastes, Bryan",3,0,3,0,3,2026-04-27 00:00:00,2026-06-01 00:00:00,,2026-05-12 00:00:00,20,17,3,0,0,0,0,42,2026-07-10 00:00:00
ESSENTIAL CARE FAMILY MEDICINE,131adcde-9fdc-45db-af94-831482a14212,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Koss, Marcus",3,0,3,0,3,2026-06-23 00:00:00,2026-07-08 00:00:00,,2026-06-25 00:00:00,13,88,1,0,2,0,0,42,2026-07-10 00:00:00
Freedom Medical Clinic (Trinity),e0d8c74a-31fe-4da6-9aa4-6a2357088b6a,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Bickle DO, Randall A; Reddy MD, Trishya",3,0,2,1,3,2026-02-23 00:00:00,2026-06-18 00:00:00,,2026-05-27 00:00:00,22,22,3,0,0,0,0,42,2026-07-10 00:00:00
Hamtramck Community Medical Center,a05c84d7-ae44-4f75-a80e-972ce19c5477,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Uddin MD, Redwan",3,0,2,1,3,2026-01-19 00:00:00,2026-04-09 00:00:00,,2026-02-25 00:00:00,43,34,1,2,0,0,0,42,2026-07-10 00:00:00
Henry Ford Health Medical Center (Ascension),3a5cf92c-ae21-4227-96ec-08c2968a5939,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Farhat MD, Anna; Murphy MD, Mary E",3,0,3,0,3,2026-01-13 00:00:00,2026-06-29 00:00:00,,2026-06-18 00:00:00,11,11,2,1,0,0,0,42,2026-07-10 00:00:00
Lakeside Internal Medicine,1c5c4e69-60f0-4d66-a3ee-9a33e818a99b,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Skardarasy MD, Charles",3,0,3,0,3,2026-01-06 00:00:00,2026-03-10 00:00:00,,2026-02-20 00:00:00,18,22,2,1,0,0,0,42,2026-07-10 00:00:00
MHP - West,ad377c20-ff69-40a9-a224-4a5787ab13bb,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Baroff DO, Stewart",3,0,3,0,3,2026-03-10 00:00:00,2026-05-14 00:00:00,,2026-03-18 00:00:00,57,64,0,1,2,0,0,42,2026-07-10 00:00:00
