source,proposed_target,source_http,source_redirects_to_now,category,action_target,confidence,note
/specialty/pain-management/ketamine-infusion/,/specialties/pain-management/ketamine-infusion/,404,,to do — dead URL,/treatment/pain-management/,High,manual fix (proposed target dead)
/specialty/spine-back-and-neck/port-huron-spine-neck-pain-dr-andres-munk/,/specialties/spine-back-and-neck/port-huron-spine-neck-pain-dr-andres-munk/,404,,to do — dead URL,/providers/andres-munk-md/,High,manual fix (proposed target dead)
/treatments/,/treatment/,301,/treatment/ [200],done,/treatment/,High,
/providers/rasheed-abiola-md/,/providers/,404,,to do — dead URL,/providers/,Review,
/providers/anna-babushkina-md/,/providers/,301,/providers/specialty/hand-wrist/ [200],superseded (site chose a different live target),,Review,
/providers/gerald-jerry-md/,/providers/,404,,to do — dead URL,/providers/,Review,
/providers/anna-krinke-pt-dpt/,/providers/,404,,to do — dead URL,/providers/,Review,
/providers/m-wednesday-hall-do/,/providers/,404,,to do — dead URL,/providers/,Review,
/providers/terry-viviani-dc/,/providers/,404,,to do — dead URL,/providers/,High,
/our-providers/orthopedics/herbert-mendelson-md/,/providers/specialty/orthopedics/,404,,to do — dead URL,/providers/specialty/orthopedics/,High,
/our-providers/orthopedics/katie-rashid-sports-medicine/,/providers/specialty/sports/,404,,to do — dead URL,/providers/specialty/sports/,High,
/our-providers/pain-management/daniel-feldman-md/,/providers/specialty/pain-management/,404,,to do — dead URL,/providers/specialty/pain-management/,High,
/our-providers/pain-management/jason-mulawa-md/,/providers/specialty/pain-management/,404,,to do — dead URL,/providers/specialty/pain-management/,High,
/our-providers/podiatry/deepali-darji-podiatrist/,/providers/specialty/foot-ankle/,404,,to do — dead URL,/providers/specialty/foot-ankle/,High,
/our-providers/rheumatology/shironda-stewart-md/,/providers/,404,,to do — dead URL,/providers/,High,
/our-providers/spine/joel-phillips-md/,/providers/specialty/spine/,404,,to do — dead URL,/providers/specialty/spine/,High,
/our-providers/spine/martin-b-kornblum-md/,/providers/specialty/spine/,404,,to do — dead URL,/providers/specialty/spine/,High,
/providers/brian-fiani-do-facos/,/providers/specialty/spine/,404,,to do — dead URL,/providers/specialty/spine/,High,
/providers/chelsea-schoenmaker-pa-c/,/providers/,404,,to do — dead URL,/providers/,High,
/providers/courtney-watson-pa-c/,/providers/,404,,to do — dead URL,/providers/,High,
/providers/kellyn-chapman-pa-c/,/providers/,404,,to do — dead URL,/providers/,High,
/providers/martin-j-kornblum-md/,/providers/specialty/spine/,404,,to do — dead URL,/providers/specialty/spine/,High,
/providers/martin-kornblum-md/,/providers/specialty/spine/,404,,to do — dead URL,/providers/specialty/spine/,High,
/providers/orthopedics/emily-ren-md/,/providers/specialty/orthopedics/,404,,to do — dead URL,/providers/specialty/orthopedics/,High,
/providers/orthopedics/herbert-mendelson-md/,/providers/specialty/orthopedics/,404,,to do — dead URL,/providers/specialty/orthopedics/,High,
/providers/orthopedics/katie-rashid-sports-medicine/,/providers/specialty/sports/,404,,to do — dead URL,/providers/specialty/sports/,High,
/providers/orthopedics/peter-lasater-md/,/providers/specialty/orthopedics/,404,,to do — dead URL,/providers/specialty/orthopedics/,High,
/providers/pain-management/daniel-feldman-md/,/providers/specialty/pain-management/,404,,to do — dead URL,/providers/specialty/pain-management/,High,
/providers/pain-management/jason-mulawa-md/,/providers/specialty/pain-management/,301,/treatment/pain-management/ [200],superseded (site chose a different live target),,High,
/providers/pain-management/m-wednesday-hall-do/,/providers/specialty/pain-management/,404,,to do — dead URL,/providers/specialty/pain-management/,High,
/providers/physician-assistant/bradley-coon-pa-c/,/providers/physician-assistant/,404,,to do — dead URL,/providers/,High,manual fix (proposed target dead)
/providers/physician-assistant/courtney-watson-pa-c/,/providers/physician-assistant/,404,,to do — dead URL,/providers/,High,manual fix (proposed target dead)
/providers/physician-assistant/jamie-amster-pa-c/,/providers/physician-assistant/,404,,to do — dead URL,/providers/,High,manual fix (proposed target dead)
/providers/physician-assistant/natalie-arnold-pa-c/,/providers/physician-assistant/,404,,to do — dead URL,/providers/,High,manual fix (proposed target dead)
/providers/physician-assistant/sarah-havens-pa-c/,/providers/physician-assistant/,404,,to do — dead URL,/providers/,High,manual fix (proposed target dead)
/providers/rebecca-oros-pta-lmt/,/providers/,404,,to do — dead URL,/providers/,High,
/providers/rheumatology/shironda-stewart-md/,/providers/,404,,to do — dead URL,/providers/,High,
/providers/spine/joel-phillips-md/,/providers/specialty/spine/,404,,to do — dead URL,/providers/specialty/spine/,High,
/conditions-we-treat/foot-ankle-conditions/sprained-ankle/,/conditions-we-treat/foot-ankle-conditions/ankle-sprain/,301,/specialty/foot-ankle-specialists/ [200],done,/specialty/foot-ankle-specialists/,Review,manual fix (proposed target dead)
/specialties/hand-upper-extremity/sterling-heights/null/,/specialty/hand-wrist/sterling-heights/,404,,to do — dead URL,/specialty/hand-wrist/sterling-heights/,Review,
/specialties/locations/livonia-orthopedics/contact-us/,/specialties/orthopedic-services/livonia/,404,,to do — dead URL,/specialty/orthopedic-services/livonia/,Review,resolved through site redirect
